id,year,rank,overall_pick,team,player,college,years_active,games,minutes_played,points,total_rebounds,assists,field_goal_percentage,3_point_percentage,free_throw_percentage,average_minutes_played,points_per_game,average_total_rebounds,average_assists,win_shares,win_shares_per_48_minutes,box_plus_minus,value_over_replacement,umap1,umap2,metric_value,quartile
1007,2006,45,45,IND,Alexander Johnson,Florida State,2.0,102.0,1302.0,439.0,275.0,30.0,0.517,0.0,0.672,12.8,4.3,2.7,0.3,1.5,0.056,-4.6,-0.9,2.867839,-5.672913,-0.9,0
1012,2006,50,50,CHA,Ryan Hollins,UCLA,10.0,518.0,6134.0,1913.0,1140.0,151.0,0.584,0.0,0.649,11.8,3.7,2.2,0.3,10.4,0.081,-4.1,-3.2,1.4376602,6.1871676,-3.2,0
1021,2006,59,59,SAS,Damir Markota,International,1.0,30.0,170.0,51.0,31.0,6.0,0.365,0.375,0.636,5.7,1.7,1.0,0.2,-0.2,-0.07,-8.5,-0.3,-1.6474268,0.80709064,-0.3,0
1028,2007,6,6,MIL,Yi Jianlian,International,5.0,272.0,6038.0,2148.0,1339.0,192.0,0.404,0.333,0.78,22.2,7.9,4.9,0.7,3.1,0.025,-4.3,-3.5,-3.861275,4.855441,-3.5,0
1033,2007,11,11,ATL,Acie Law,Texas A&M,4.0,188.0,2385.0,725.0,195.0,309.0,0.413,0.235,0.778,12.7,3.9,1.0,1.6,1.6,0.032,-3.9,-1.1,-2.242585,-0.9637757,-1.1,0
1036,2007,14,14,LAC,Al Thornton,Florida State,4.0,296.0,8274.0,3527.0,1233.0,353.0,0.452,0.293,0.747,28.0,11.9,4.2,1.2,6.1,0.035,-3.5,-3.2,-3.972576,5.550154,-3.2,0
1038,2007,16,16,WAS,Nick Young,USC,12.0,720.0,16419.0,8194.0,1427.0,687.0,0.418,0.376,0.836,22.8,11.4,2.0,1.0,18.6,0.054,-2.2,-0.8,-2.3645303,10.328025,-0.8,0
1039,2007,17,17,NJN,Sean Williams,Boston College,4.0,137.0,1978.0,581.0,472.0,47.0,0.511,0.0,0.624,14.4,4.2,3.4,0.3,3.0,0.073,-3.1,-0.6,2.712154,-6.3208394,-0.6,0
1041,2007,19,19,LAL,Javaris Crittenton,Georgia Tech,2.0,113.0,1853.0,595.0,276.0,201.0,0.442,0.231,0.638,16.4,5.3,2.4,1.8,0.1,0.002,-4.2,-1.0,-2.9793143,-1.278659,-1.0,0
1042,2007,20,20,MIA,Jason Smith,Colorado State,11.0,616.0,10029.0,3777.0,2075.0,453.0,0.468,0.333,0.783,16.3,6.1,3.4,0.7,14.1,0.067,-2.9,-2.4,-2.480353,8.3311615,-2.4,0
1043,2007,21,21,PHI,Daequan Cook,Ohio State,6.0,328.0,5993.0,2114.0,703.0,243.0,0.369,0.359,0.813,18.3,6.4,2.1,0.7,4.9,0.039,-2.7,-1.1,-3.5172784,4.9042087,-1.1,0
1047,2007,25,25,UTA,Morris Almond,Rice University,3.0,38.0,361.0,119.0,46.0,12.0,0.381,0.292,0.743,9.5,3.1,1.2,0.3,0.0,0.005,-6.1,-0.4,-0.7401815,-0.08574251,-0.4,0
1051,2007,29,29,PHO,Alando Tucker,Wisconsin,3.0,51.0,426.0,211.0,49.0,16.0,0.423,0.294,0.783,8.4,4.1,1.0,0.3,0.4,0.045,-4.5,-0.3,-1.1573724,0.13835487,-0.3,0
1057,2007,35,35,SEA,Glen Davis,LSU,8.0,514.0,10865.0,4111.0,2236.0,457.0,0.447,0.182,0.7,21.1,8.0,4.4,0.9,18.6,0.082,-2.6,-1.7,-0.8548376,7.509732,-1.7,0
1058,2007,36,36,GSW,Jermareo Davidson,Alabama,2.0,52.0,433.0,162.0,96.0,14.0,0.425,0.0,0.578,8.3,3.1,1.8,0.3,0.0,0.0,-5.2,-0.3,1.261317,-5.7738986,-0.3,0
