id,year,rank,overall_pick,team,player,college,years_active,games,minutes_played,points,total_rebounds,assists,field_goal_percentage,3_point_percentage,free_throw_percentage,average_minutes_played,points_per_game,average_total_rebounds,average_assists,win_shares,win_shares_per_48_minutes,box_plus_minus,value_over_replacement,umap1,umap2,metric_value,quartile
227,1993,11,11,DET,Allan Houston,Tennessee,12.0,839.0,28311.0,14551.0,2434.0,1990.0,0.444,0.402,0.863,33.7,17.3,2.9,2.4,55.3,0.094,0.1,15.0,1.0932606,3.9457824,0.094,2
228,1993,12,12,LAL,George Lynch,UNC,12.0,774.0,17683.0,5109.0,3902.0,1121.0,0.446,0.306,0.652,22.8,6.6,5.0,1.4,32.3,0.088,-0.4,7.3,3.1853569,3.9825184,0.088,2
230,1993,14,14,IND,Scott Haskin,Oregon State,1.0,27.0,186.0,55.0,55.0,6.0,0.467,0.0,0.684,6.9,2.0,2.0,0.2,0.3,0.087,-2.8,0.0,8.769569,-0.043317374,0.087,2
236,1993,20,20,CHH,Scott Burrell,UConn,8.0,383.0,7592.0,2647.0,1332.0,527.0,0.418,0.373,0.723,19.8,6.9,3.5,1.4,16.4,0.104,0.7,5.2,5.625265,6.260047,0.104,2
241,1993,25,25,CHI,Corie Blount,Cincinnati,11.0,644.0,9925.0,2287.0,2690.0,460.0,0.471,0.115,0.587,15.4,3.6,4.2,0.7,18.2,0.088,-2.5,-1.1,5.239459,2.7133024,0.088,2
242,1993,26,26,ORL,Geert Hammink,LSU,3.0,8.0,27.0,14.0,7.0,2.0,0.4,0.0,0.667,3.4,1.8,0.9,0.3,0.1,0.089,-3.7,0.0,9.554794,-0.51113033,0.089,2
244,1993,28,28,DAL,Lucious Harris,Cal State Long Beach,12.0,800.0,15701.0,5784.0,1864.0,1130.0,0.426,0.348,0.79,19.6,7.2,2.3,1.4,28.7,0.088,-0.9,4.5,2.926025,5.0830846,0.088,2
253,1993,37,37,LAL,Nick Van Exel,Cincinnati,13.0,880.0,28969.0,12658.0,2545.0,5777.0,0.405,0.357,0.794,32.9,14.4,2.9,6.6,55.9,0.093,0.4,17.7,-1.0642592,2.598215,0.093,2
263,1993,47,47,SAS,Chris Whitney,Clemson,11.0,579.0,10052.0,3738.0,815.0,1613.0,0.395,0.361,0.875,17.4,6.5,1.4,2.8,21.2,0.101,-0.2,4.6,2.8780546,6.2024803,0.101,2
271,1994,1,1,MIL,Glenn Robinson,Purdue,11.0,688.0,25346.0,14234.0,4189.0,1879.0,0.459,0.34,0.82,36.8,20.7,6.1,2.7,39.8,0.075,0.1,13.5,1.0079418,3.4307334,0.075,2
275,1994,5,5,WSB,Juwan Howard,Michigan,19.0,1208.0,36654.0,16159.0,7428.0,2663.0,0.469,0.12,0.764,30.3,13.4,6.1,2.2,59.4,0.078,-1.6,3.8,0.8071109,1.8741211,0.078,2
